orf_id	associated_transcript_id	trans_len	reading_frame	ORF_start	ORF_end	peptide_coverage	CPAT_score	associated_peptide_id	ORF_length(nt)
SPENO000061	SPENT000537	1273	1	544	1122	0.0885	0.5744	SPENP001294	579
SPENO000062	SPENT001562	256	2	29	256	0.1333	0.5234	SPENP003424	228
SPENO000063	SPENT003423	1341	2	233	439	0.2941	0.232	SPENP011676	207
SPENO000064	SPENT003879	2556	1	1498	1680	0.1333	0.0035	SPENP016990	183
SPENO000065	SPENT004024	1118	2	128	457	0.3211	0.1848	SPENP017520,SPENP017805	330
SPENO000066	SPENT004373	901	2	206	532	0.1389	0.1315	SPENP020359	327
SPENO000067	SPENT005897	6132	3	4065	4988	0.2182	0.9981	SPENP000972,SPENP018503,SPENP018105,SPENP003964,SPENP001021	924
SPENO000068	SPENT001063	1845	2	545	742	0.1538	0.043	SPENP002136,SPENP002067	198
SPENO000069	SPENT004163	1676	3	90	296	0.2941	0.0094	SPENP018442	207
SPENO000070	SPENT001417	872	2	296	409	0.7838	0.0857	SPENP002948,SPENP007489,SPENP016378	114
SPENO000071	SPENT004486	1470	1	139	384	0.1235	0.1411	SPENP022320,SPENP022321	246
SPENO000072	SPENT001349	937	3	444	608	0.3519	0.4315	SPENP002758	165
SPENO000073	SPENT005984	50791	1	25183	25281	0.9375	0.0003	SPENP000612	99
SPENO000074	SPENT003662	343	2	2	79	0.36	0.3049	SPENP016814	78
SPENO000075	SPENT001679	3071	1	946	993	0.6667	0.0027	SPENP003842	48
SPENO000076	SPENT004874	5866	1	2383	2598	0.169	0.0026	SPENP023595	216
SPENO000077	SPENT002655	1407	2	650	1093	0.2313	0.2574	SPENP007410,SPENP020559,SPENP007096	444
SPENO000078	SPENT003951	7849	1	4657	4932	0.2198	0.0015	SPENP016990,SPENP023595	276
SPENO000079	SPENT001823	2075	3	222	305	0.5556	0.0016	SPENP004231	84
SPENO000080	SPENT000198	755	1	7	492	0.1366	0.9003	SPENP001063,SPENP000969	486
SPENO000081	SPENT001505	2642	2	2072	2626	0.1033	0.3584	SPENP003289,SPENP004503,SPENP003277,SPENP004432	555
SPENO000082	SPENT002744	1444	2	881	961	0.9615	0.0016	SPENP007464	81
SPENO000083	SPENT000502	1229	3	894	1070	0.2759	0.4343	SPENP001232,SPENP006605,SPENP011549,SPENP013508,SPENP015097,SPENP022912,SPENP022913,SPENP027157,SPENP028345	177
SPENO000084	SPENT001920	456	2	74	292	0.2778	0.0676	SPENP004539	219
SPENO000085	SPENT004508	1417	3	786	890	0.3235	0.0011	SPENP022456,SPENP022457	105
SPENO000086	SPENT001814	566	2	41	472	0.3636	0.3577	SPENP016260,SPENP017602,SPENP004222,SPENP017823	432
SPENO000087	SPENT001552	650	3	45	125	0.3077	0.0012	SPENP003404	81
SPENO000088	SPENT004089	2339	1	382	456	1.0	0.0032	SPENP017869	75
SPENO000089	SPENT000912	487	3	222	383	0.5472	0.0796	SPENP001834,SPENP001921,SPENP007312,SPENP013538,SPENP019520,SPENP019521,SPENP019522,SPENP024191	162
SPENO000090	SPENT000912	487	1	34	225	0.5397	0.1546	SPENP025009,SPENP011406,SPENP029492	192
SPENO000091	SPENT000230	14914	2	9482	9526	0.7143	0.0013	SPENP000926	45
SPENO000092	SPENT005888	7649	2	3155	3238	0.6667	0.0015	SPENP014434,SPENP014417	84
SPENO000093	SPENT003375	377	3	261	338	0.52	0.015	SPENP011399,SPENP018195,SPENP020225	78
SPENO000094	SPENT004779	24099	3	20937	21110	0.2105	0.0003	SPENP023595	174
SPENO000095	SPENT004779	24099	1	19993	20166	0.2105	0.0003	SPENP023595	174
SPENO000096	SPENT004779	24099	2	20465	20638	0.2105	0.0003	SPENP023595	174
SPENO000097	SPENT001890	411	2	86	244	0.3462	0.0147	SPENP004464	159
SPENO000098	SPENT001074	1762	3	699	896	0.1538	0.0432	SPENP002136,SPENP002067	198
SPENO000099	SPENT004474	3495	2	2945	2983	0.75	0.0004	SPENP022264,SPENP022265	39
SPENO000100	SPENT000716	449	1	202	414	0.1714	0.2979	SPENP001533,SPENP012764	213
SPENO000101	SPENT003277	2003	2	698	916	0.25	0.638	SPENP000418,SPENP010647,SPENP010648,SPENP010779,SPENP010780	219
SPENO000102	SPENT002521	3629	3	1716	1853	0.5556	0.0009	SPENP006732	138
SPENO000103	SPENT000575	13003	3	6957	7022	1.0	0.0854	SPENP001359	66
SPENO000104	SPENT005610	622	2	86	418	0.1273	0.2037	SPENP015024	333
SPENO000105	SPENT003379	569	2	281	358	0.52	0.5495	SPENP011438	78
SPENO000106	SPENT003917	3247	2	2153	2326	0.1404	0.0032	SPENP016990	174
SPENO000107	SPENT006086	1366	2	692	835	0.4043	0.0185	SPENP000489	144
SPENO000108	SPENT002820	578	1	163	324	0.6604	0.0722	SPENP007876,SPENP019697,SPENP019698,SPENP019699,SPENP025442,SPENP025080	162
SPENO000109	SPENT004713	19437	1	1261	1554	0.1237	0.0012	SPENP023595	294
SPENO000110	SPENT002677	9877	2	2000	2209	0.2174	0.0749	SPENP007200	210
SPENO000111	SPENT001424	1833	2	1130	1342	0.4286	0.0722	SPENP002956	213
SPENO000112	SPENT002568	7205	3	5994	6023	1.0	0.0002	SPENP006825	30
SPENO000113	SPENT003758	561	2	71	295	0.1892	0.0343	SPENP016937	225
SPENO000114	SPENT002155	6534	1	3667	3852	0.2459	0.0016	SPENP024126,SPENP024742	186
SPENO000115	SPENT002931	1052	3	279	920	0.1221	0.9939	SPENP008294,SPENP020174	642
SPENO000116	SPENT004337	4060	3	174	407	0.1558	0.1117	SPENP020068	234
SPENO000117	SPENT005650	392	2	86	151	1.0	0.0018	SPENP015195	66
SPENO000118	SPENT000671	3406	1	1720	1809	0.3448	0.0004	SPENP001475	90
SPENO000119	SPENT003722	752	2	59	202	0.234	0.0194	SPENP016870	144
SPENO000120	SPENT003447	519	2	203	394	0.5714	0.3368	SPENP011738,SPENP013101,SPENP025528	192
SPENO000121	SPENT001092	1637	3	537	734	0.1538	0.0435	SPENP002136,SPENP002067	198
SPENO000122	SPENT000250	862	1	1	264	0.1379	0.1991	SPENP000162,SPENP001509,SPENP002247,SPENP003953,SPENP006950,SPENP008121,SPENP013261,SPENP017261,SPENP018121,SPENP019049,SPENP019050,SPENP019051,SPENP019990,SPENP022404,SPENP022405,SPENP024518,SPENP004002,SPENP000077,SPENP000970,SPENP001483,SPENP002122,SPENP003825,SPENP006899,SPENP008047,SPENP009997,SPENP009998,SPENP012742,SPENP013243,SPENP013975,SPENP014848,SPENP015642,SPENP017159,SPENP018091,SPENP018899,SPENP018900,SPENP018901,SPENP019942,SPENP022348,SPENP022349,SPENP024477,SPENP025817,SPENP026019,SPENP027039,SPENP027245,SPENP027835,SPENP028014,SPENP028031,SPENP028308,SPENP028369,SPENP028730	264
SPENO000123	SPENT004418	567	3	63	278	0.3099	0.03	SPENP020583	216
SPENO000124	SPENT002468	958	1	103	237	0.2955	0.0585	SPENP006495	135
SPENO000125	SPENT005981	2546	3	201	350	0.2449	0.0769	SPENP000227,SPENP025660	150
SPENO000126	SPENT000704	562	2	299	523	0.3514	0.0231	SPENP001604,SPENP002473,SPENP012975,SPENP014265,SPENP017500,SPENP020295,SPENP022704,SPENP022705,SPENP001530,SPENP001631,SPENP002553,SPENP010503,SPENP010504,SPENP014299,SPENP016019,SPENP017562,SPENP020338,SPENP022792,SPENP022793,SPENP025281	225
SPENO000127	SPENT003568	1442	3	1200	1298	0.2812	0.0004	SPENP016753	99
SPENO000128	SPENT001816	2572	2	137	1627	0.1673	1.0	SPENP004233,SPENP019822,SPENP004226,SPENP024655,SPENP020209,SPENP024658,SPENP024394,SPENP027017,SPENP027284,SPENP027451	1491
SPENO000129	SPENT000976	604	2	101	253	0.5	0.0469	SPENP001972	153
SPENO000130	SPENT004097	746	3	54	305	0.5301	0.3991	SPENP017995	252
SPENO000131	SPENT006050	733	3	240	323	0.6296	0.0091	SPENP000435,SPENP025602	84
SPENO000132	SPENT004673	740	2	461	709	0.1707	0.1409	SPENP023359	249
SPENO000133	SPENT005697	11918	3	6315	6401	0.4643	0.005	SPENP015846	87
SPENO000134	SPENT004393	1623	2	101	409	0.1863	0.0291	SPENP020503	309
SPENO000135	SPENT001521	6723	2	5495	5605	0.2222	0.0026	SPENP003398	111
SPENO000136	SPENT001247	3991	2	2720	3034	0.2212	0.0856	SPENP003836,SPENP013982,SPENP002386,SPENP004054,SPENP011435,SPENP017401,SPENP023347	315
SPENO000137	SPENT001134	706	1	331	420	0.3793	0.0722	SPENP002288,SPENP023575,SPENP002184	90
SPENO000138	SPENT005016	3128	1	967	1374	0.1704	0.1094	SPENP024278	408
SPENO000139	SPENT005925	500	1	262	426	0.2037	0.3906	SPENP004790	165
SPENO000140	SPENT002970	2047	1	145	369	0.2838	0.0134	SPENP008654	225
