orf_id	associated_transcript_id	trans_len	reading_frame	ORF_start	ORF_end	peptide_coverage	CPAT_score	associated_peptide_id	ORF_length(nt)
SPENO000770	SPENT002186	589	1	13	543	0.1023	0.3212	SPENP024852	531
SPENO000771	SPENT004573	414	3	48	272	0.1892	0.0188	SPENP022694,SPENP022695	225
SPENO000772	SPENT004715	2207	2	566	889	0.1121	0.0152	SPENP023595	324
SPENO000773	SPENT002512	1099	1	190	420	0.4868	0.2191	SPENP006671,SPENP008981,SPENP015159,SPENP014773,SPENP016772	231
SPENO000774	SPENT001130	1383	3	294	533	0.1266	0.0373	SPENP002145,SPENP011274	240
SPENO000775	SPENT001296	2276	2	1274	1345	0.6957	0.0032	SPENP002622	72
SPENO000776	SPENT002709	1621	1	28	78	1.0	0.0036	SPENP007264	51
SPENO000777	SPENT003247	2030	1	403	1473	0.1461	0.9999	SPENP009915,SPENP009916,SPENP019958,SPENP000777,SPENP020690,SPENP019955,SPENP020037	1071
SPENO000778	SPENT004805	2233	3	1752	1844	0.4	0.0039	SPENP023595	93
SPENO000779	SPENT001657	3637	1	1510	1680	0.1607	0.0051	SPENP003784,SPENP024418,SPENP025035	171
SPENO000780	SPENT002092	591	1	1	225	0.1622	0.183	SPENP024564	225
SPENO000781	SPENT004151	3469	2	2264	2356	0.5	0.0005	SPENP018306	93
SPENO000782	SPENT003754	552	2	437	496	0.6842	0.0047	SPENP016918	60
SPENO000783	SPENT003240	3391	1	931	1047	0.2895	0.0005	SPENP009865,SPENP009866,SPENP010071,SPENP010072	117
SPENO000784	SPENT002769	359	1	1	87	0.5357	0.1525	SPENP023696,SPENP023555	87
SPENO000785	SPENT002769	359	3	165	359	0.1875	0.0742	SPENP007600	195
SPENO000786	SPENT001993	1598	1	130	384	0.25	0.8833	SPENP016865,SPENP006805,SPENP019745,SPENP024356,SPENP007103,SPENP020194,SPENP024664	255
SPENO000787	SPENT002757	436	1	1	135	0.2045	0.0131	SPENP007532	135
SPENO000788	SPENT002787	3651	3	2862	2954	0.4667	0.0148	SPENP007668	93
SPENO000789	SPENT004045	1148	2	488	619	0.3488	0.0043	SPENP017589	132
SPENO000790	SPENT000745	4118	1	1483	1632	0.2653	0.012	SPENP001564	150
SPENO000791	SPENT005544	5271	2	2993	3091	0.625	0.1905	SPENP014890,SPENP014789	99
SPENO000792	SPENT004334	668	2	239	283	0.8571	0.0014	SPENP020131	45
SPENO000793	SPENT001052	4591	2	515	712	0.1538	0.0367	SPENP002136,SPENP002067	198
SPENO000794	SPENT005464	11368	3	7233	7397	0.2037	0.0027	SPENP014071	165
SPENO000795	SPENT003617	1392	2	812	862	0.5625	0.002	SPENP016789	51
SPENO000796	SPENT001789	1133	2	389	508	0.3846	0.0354	SPENP004184,SPENP026968,SPENP026969	120
SPENO000797	SPENT004989	6274	1	5368	5511	0.383	0.0187	SPENP023941,SPENP027935	144
SPENO000798	SPENT004105	1051	3	345	584	0.1139	0.1423	SPENP015582,SPENP018028,SPENP019846	240
SPENO000799	SPENT000124	947	3	456	704	0.4512	0.2599	SPENP004235,SPENP000821,SPENP001156	249
SPENO000800	SPENT000652	1256	3	48	974	0.039	1.0	SPENP003127	927
SPENO000801	SPENT002150	4530	1	3235	3417	0.2333	0.0085	SPENP024733	183
SPENO000802	SPENT005299	470	3	354	470	0.3421	0.6222	SPENP012958	117
SPENO000803	SPENT002797	373	2	209	325	0.4211	0.0088	SPENP007748	117
SPENO000804	SPENT004266	554	2	221	433	0.1429	0.0723	SPENP019959,SPENP029428	213
SPENO000805	SPENT005502	6470	3	2169	2252	0.6667	0.0016	SPENP014434,SPENP014417	84
SPENO000806	SPENT001085	1726	3	519	716	0.1538	0.0433	SPENP002136,SPENP002067	198
SPENO000807	SPENT003866	2043	3	1764	1916	0.4	0.0008	SPENP016990,SPENP023595	153
SPENO000808	SPENT003766	471	2	131	238	0.6571	0.4435	SPENP016980,SPENP016962,SPENP016983	108
SPENO000809	SPENT000395	870	3	45	665	0.0631	0.969	SPENP001110	621
SPENO000810	SPENT001165	2685	3	951	1064	0.2703	0.136	SPENP002156,SPENP003873,SPENP017198	114
SPENO000811	SPENT001165	2685	1	703	915	0.3286	0.0149	SPENP003836,SPENP013982,SPENP002386,SPENP004054,SPENP011435,SPENP017401,SPENP023347	213
SPENO000812	SPENT005919	3185	2	617	2803	0.0192	1.0	SPENP023661	2187
SPENO000813	SPENT005919	3185	2	17	442	0.2482	0.8931	SPENP003919,SPENP003743,SPENP004355	426
SPENO000814	SPENT004528	639	1	352	597	0.1481	0.4837	SPENP000191,SPENP022536,SPENP022537	246
SPENO000815	SPENT004025	4227	1	3484	3813	0.3211	0.1581	SPENP017520,SPENP017805	330
SPENO000816	SPENT002347	276	1	1	150	0.2041	0.2022	SPENP005169,SPENP005170,SPENP005171,SPENP005172,SPENP005173	150
SPENO000817	SPENT000776	4597	2	26	283	0.1647	0.0511	SPENP001614,SPENP012971	258
SPENO000818	SPENT003200	404	3	78	347	0.236	0.1175	SPENP009294	270
SPENO000819	SPENT000493	1296	1	139	363	0.6351	0.2317	SPENP016958,SPENP005709,SPENP005710,SPENP005711,SPENP005712,SPENP005713,SPENP007279,SPENP015110,SPENP019484,SPENP019485,SPENP019486,SPENP020396,SPENP024145,SPENP024780,SPENP019550,SPENP019551,SPENP019552,SPENP024174,SPENP024827,SPENP001205,SPENP004219,SPENP007186,SPENP024744,SPENP005474,SPENP005475,SPENP005476,SPENP005477,SPENP005478,SPENP007135,SPENP009534,SPENP010421,SPENP010422,SPENP012792,SPENP015022,SPENP022718,SPENP022719,SPENP024716,SPENP009082,SPENP011167,SPENP011168,SPENP011802,SPENP020699,SPENP023208,SPENP023209,SPENP024964,SPENP025485,SPENP016861,SPENP001243,SPENP004305,SPENP007267,SPENP027236,SPENP028727	225
SPENO000820	SPENT005283	1375	1	730	801	0.4348	0.0074	SPENP012893	72
SPENO000821	SPENT004016	1061	2	881	973	0.4333	0.0012	SPENP017451	93
SPENO000822	SPENT002881	1190	1	34	171	0.2667	0.0012	SPENP008247	138
SPENO000823	SPENT001210	3226	3	384	680	0.1224	0.0934	SPENP002306,SPENP006448,SPENP007017,SPENP008262,SPENP013330,SPENP014125,SPENP015772,SPENP017339,SPENP018169,SPENP020083,SPENP024573,SPENP025139	297
SPENO000824	SPENT002082	879	2	554	790	0.6282	0.0523	SPENP016802,SPENP000577,SPENP006734,SPENP007463,SPENP014621,SPENP024942,SPENP006979,SPENP024536,SPENP006557,SPENP007197,SPENP014316,SPENP025597,SPENP025646,SPENP028530	237
SPENO000825	SPENT001031	1755	2	545	742	0.1538	0.0432	SPENP002136,SPENP002067	198
SPENO000826	SPENT004444	731	3	195	305	0.3333	0.0172	SPENP020984,SPENP020985,SPENP020986,SPENP020987	111
SPENO000827	SPENT004121	479	1	1	96	0.3226	0.0035	SPENP018092	96
SPENO000828	SPENT005195	2708	1	1333	1422	0.2759	0.0002	SPENP012714	90
SPENO000829	SPENT002909	998	1	394	834	0.089	0.3822	SPENP008304,SPENP014184,SPENP015881	441
SPENO000830	SPENT003273	34733	2	9848	10012	0.2963	0.0043	SPENP010579,SPENP010580	165
SPENO000831	SPENT004101	3639	1	2692	2790	0.5	0.0019	SPENP018023,SPENP029163	99
SPENO000832	SPENT001563	4999	1	196	291	0.3226	0.006	SPENP003425	96
SPENO000833	SPENT002533	2084	2	2012	2059	0.6667	0.0042	SPENP006798,SPENP006846,SPENP006855	48
SPENO000834	SPENT005442	1313	3	480	524	0.6429	0.0012	SPENP013953,SPENP013920	45
SPENO000835	SPENT001113	2669	2	50	508	0.2566	0.6725	SPENP016356,SPENP020663,SPENP002235,SPENP008154,SPENP010073,SPENP010074,SPENP014088,SPENP015688,SPENP017270,SPENP019993,SPENP022432,SPENP022433,SPENP002083,SPENP009384,SPENP013157,SPENP017059,SPENP019842,SPENP022232,SPENP022233	459
SPENO000836	SPENT001605	1147	3	1038	1118	0.5769	0.007	SPENP003591	81
SPENO000837	SPENT003234	1344	2	248	313	0.381	0.0064	SPENP009747,SPENP009748	66
SPENO000838	SPENT005343	465	1	274	408	0.2273	0.0104	SPENP013205	135
SPENO000839	SPENT004603	2992	2	1214	1468	0.1905	0.0122	SPENP022848,SPENP022849	255
SPENO000840	SPENT002467	311	1	10	186	0.2414	0.2491	SPENP006475,SPENP006534	177
SPENO000841	SPENT004204	2555	3	1872	2012	0.2609	0.8639	SPENP019175,SPENP019176,SPENP019177,SPENP018890,SPENP018891,SPENP018892	141
SPENO000842	SPENT002573	604	3	183	368	0.1475	0.0136	SPENP006851	186
SPENO000843	SPENT002344	288	1	1	150	0.2041	0.2036	SPENP005169,SPENP005170,SPENP005171,SPENP005172,SPENP005173	150
SPENO000844	SPENT003913	20810	3	5145	5384	0.1013	0.0004	SPENP016990	240
SPENO000845	SPENT004547	610	3	216	485	0.1461	0.0097	SPENP022602,SPENP022603	270
SPENO000846	SPENT004132	1698	3	522	572	0.75	0.009	SPENP018183	51
SPENO000847	SPENT001870	2019	1	811	1008	0.2615	0.1409	SPENP000426,SPENP004411,SPENP005789,SPENP005790,SPENP005791,SPENP005792,SPENP005793,SPENP007766,SPENP017682,SPENP020440,SPENP024186	198
SPENO000848	SPENT001508	596	2	122	442	0.1792	0.0122	SPENP003293,SPENP003648,SPENP012558,SPENP012559,SPENP015394,SPENP016614,SPENP021440,SPENP021441,SPENP021442,SPENP021443	321
SPENO000849	SPENT005342	1055	3	624	866	0.125	0.5888	SPENP013218	243
SPENO000850	SPENT005477	8298	1	4465	4575	0.3889	0.0264	SPENP014267,SPENP015329	111
SPENO000851	SPENT003669	435	1	34	315	0.0968	0.0398	SPENP016818	282
SPENO000852	SPENT004083	2372	1	1	762	0.0791	0.9572	SPENP013061,SPENP017788	762
SPENO000853	SPENT005518	5779	3	1605	1703	0.6562	0.0001	SPENP014557	99
SPENO000854	SPENT005682	3738	1	667	912	0.1481	0.0147	SPENP015810	246
SPENO000855	SPENT005407	590	3	531	569	0.9167	0	SPENP013761,SPENP013762	39
SPENO000856	SPENT005790	3384	2	92	2170	0.5116	1.0	SPENP002991,SPENP025489,SPENP002851,SPENP004630,SPENP025436,SPENP002950,SPENP011105,SPENP011106,SPENP011779,SPENP025468,SPENP003004,SPENP002768,SPENP004536,SPENP008612,SPENP010869,SPENP010870,SPENP011662,SPENP013069,SPENP013593,SPENP014532,SPENP015190,SPENP016217,SPENP017785,SPENP019628,SPENP019629,SPENP019630,SPENP020525,SPENP024247,SPENP024886,SPENP025387,SPENP003006,SPENP009089,SPENP011814,SPENP014732,SPENP025493,SPENP002740,SPENP008980,SPENP019598,SPENP019599,SPENP019600,SPENP020516,SPENP025372,SPENP003002,SPENP009088,SPENP011195,SPENP011196,SPENP011812,SPENP013116,SPENP013695,SPENP014728,SPENP016425,SPENP019739,SPENP019740,SPENP019741,SPENP025492,SPENP003015,SPENP009095,SPENP013118,SPENP014744,SPENP016442,SPENP017997,SPENP019742,SPENP019743,SPENP019744,SPENP020719,SPENP025499,SPENP002399,SPENP008299,SPENP011383,SPENP013389,SPENP014176,SPENP017398,SPENP020186,SPENP024045,SPENP025191,SPENP002738,SPENP010837,SPENP010838,SPENP011652,SPENP013059,SPENP013575,SPENP014482,SPENP016153,SPENP017760,SPENP019616,SPENP019617,SPENP019618,SPENP020497,SPENP023028,SPENP023029,SPENP024224,SPENP024862,SPENP025376,SPENP002594,SPENP008479,SPENP010637,SPENP010638,SPENP017621,SPENP019481,SPENP019482,SPENP019483,SPENP020380,SPENP024779,SPENP025314,SPENP002969,SPENP025480,SPENP003014,SPENP009094,SPENP011219,SPENP011220,SPENP011821,SPENP013700,SPENP014743,SPENP016441,SPENP017996,SPENP024971,SPENP025498,SPENP026573,SPENP026574,SPENP027492,SPENP027866,SPENP027870	2079
SPENO000857	SPENT002604	593	3	105	287	0.4167	0.0296	SPENP006947,SPENP010063,SPENP010064,SPENP007126	183
SPENO000858	SPENT005386	2412	2	1418	1492	0.7917	0.0264	SPENP013579	75
SPENO000859	SPENT005964	3702	3	915	1064	0.2449	0.0721	SPENP000227	150
SPENO000860	SPENT000542	812	1	112	303	0.4127	0.0336	SPENP000050,SPENP014802,SPENP000440,SPENP001280,SPENP001681,SPENP004416,SPENP007310,SPENP008531,SPENP011576,SPENP014395,SPENP015126,SPENP016094,SPENP017685,SPENP018378,SPENP020426,SPENP024819	192
SPENO000861	SPENT002242	548	1	301	414	0.2973	0.0108	SPENP007572	114
SPENO000862	SPENT002242	548	1	1	99	0.2812	0.8794	SPENP004747	99
SPENO000863	SPENT001936	823	3	192	521	0.1927	0.1134	SPENP004565	330
SPENO000864	SPENT002865	2685	1	379	459	0.3846	0.0026	SPENP008096	81
SPENO000865	SPENT002108	735	1	28	342	0.3077	0.2203	SPENP007033,SPENP010159,SPENP010160,SPENP019178,SPENP019179,SPENP019180,SPENP022478,SPENP022479,SPENP023982,SPENP024602,SPENP006641,SPENP006466,SPENP007117,SPENP010277,SPENP010278,SPENP019238,SPENP019239,SPENP019240,SPENP022588,SPENP022589,SPENP024028,SPENP024677,SPENP006658,SPENP007374,SPENP010815,SPENP010816,SPENP026750	315
SPENO000866	SPENT001082	4489	1	520	717	0.1538	0.0369	SPENP002136,SPENP002067	198
SPENO000867	SPENT002183	1047	1	157	444	0.1895	0.4293	SPENP024857	288
SPENO000868	SPENT002183	1047	2	368	862	0.2866	0.6114	SPENP008594,SPENP016174,SPENP016808,SPENP000472	495
SPENO000869	SPENT004803	2229	3	945	1187	0.15	0.0158	SPENP023595	243
SPENO000870	SPENT001750	225	1	1	225	0.5	0.1936	SPENP004138,SPENP015963,SPENP020247,SPENP020015,SPENP015819	225
SPENO000871	SPENT000473	2762	3	2364	2543	0.6949	0.004	SPENP001387,SPENP001204	180
SPENO000872	SPENT001567	280	1	103	129	1.0	0.0012	SPENP003429,SPENP028948	27
SPENO000873	SPENT002656	742	1	16	396	0.2698	0.145	SPENP007410,SPENP020559,SPENP007096	381
SPENO000874	SPENT003063	494	3	243	386	0.234	0.2069	SPENP008832,SPENP028370	144
SPENO000875	SPENT001684	586	1	364	456	0.3667	0.6592	SPENP003902	93
SPENO000876	SPENT002661	44406	1	12874	13056	0.2333	0.0002	SPENP007136	183
SPENO000877	SPENT004241	2429	1	1570	1764	0.3281	0.005	SPENP019646,SPENP019647,SPENP019648	195
SPENO000878	SPENT004969	2561	1	1657	1728	0.7826	0.0091	SPENP023746	72
SPENO000879	SPENT003340	2980	2	854	985	0.2558	0.0031	SPENP011313	132
SPENO000880	SPENT004601	1649	1	1273	1407	0.3636	0.0025	SPENP000392,SPENP022888,SPENP022889,SPENP026189	135
SPENO000881	SPENT000285	652	3	135	380	0.1235	0.0247	SPENP000913	246
SPENO000882	SPENT000863	3027	3	87	2288	0.0491	1.0	SPENP001766,SPENP017914,SPENP016722	2202
SPENO000883	SPENT005973	1247	1	376	483	0.6	0.1819	SPENP000527	108
SPENO000884	SPENT000102	1104	3	135	1016	0.744	0.9967	SPENP000240,SPENP001140,SPENP001565,SPENP002402,SPENP004057,SPENP005409,SPENP005410,SPENP005411,SPENP005412,SPENP005413,SPENP006478,SPENP007068,SPENP008307,SPENP010225,SPENP010226,SPENP011432,SPENP012017,SPENP012964,SPENP013378,SPENP014182,SPENP014966,SPENP015861,SPENP017409,SPENP018198,SPENP019244,SPENP019245,SPENP019246,SPENP022596,SPENP022597,SPENP024035,SPENP024632,SPENP000081,SPENP000924,SPENP001457,SPENP001810,SPENP002158,SPENP003834,SPENP004772,SPENP006342,SPENP007564,SPENP008111,SPENP009959,SPENP009960,SPENP011296,SPENP012232,SPENP012233,SPENP012896,SPENP013201,SPENP013983,SPENP014850,SPENP015624,SPENP017202,SPENP018064,SPENP018887,SPENP018888,SPENP018889,SPENP019922,SPENP022358,SPENP022359,SPENP023514,SPENP023872,SPENP024432,SPENP025046,SPENP001369,SPENP001738,SPENP004595,SPENP007856,SPENP008678,SPENP014567,SPENP016251,SPENP018471,SPENP020588,SPENP023428,SPENP000491,SPENP000741,SPENP001319,SPENP001708,SPENP001939,SPENP002733,SPENP004501,SPENP006657,SPENP007375,SPENP008598,SPENP010797,SPENP010798,SPENP012836,SPENP014498,SPENP015168,SPENP016164,SPENP017769,SPENP018423,SPENP019619,SPENP019620,SPENP019621,SPENP020520,SPENP023030,SPENP023031,SPENP023418,SPENP024229,SPENP024869,SPENP001168,SPENP001609,SPENP002489,SPENP004147,SPENP004849,SPENP005489,SPENP005490,SPENP005491,SPENP005492,SPENP005493,SPENP006524,SPENP007140,SPENP007676,SPENP008359,SPENP011443,SPENP014255,SPENP015039,SPENP015919,SPENP017479,SPENP018278,SPENP020266,SPENP022688,SPENP022689,SPENP023665,SPENP024732,SPENP000014,SPENP000797,SPENP001411,SPENP002011,SPENP003722,SPENP004734,SPENP004974,SPENP004975,SPENP004976,SPENP004977,SPENP004978,SPENP006292,SPENP006792,SPENP007512,SPENP007929,SPENP008777,SPENP009755,SPENP009756,SPENP013122,SPENP013907,SPENP014753,SPENP015503,SPENP017037,SPENP018001,SPENP018731,SPENP018732,SPENP018733,SPENP019781,SPENP022152,SPENP022153,SPENP023448,SPENP023815,SPENP024357,SPENP024977,SPENP000541,SPENP000759,SPENP001735,SPENP002845,SPENP006697,SPENP007434,SPENP008666,SPENP010955,SPENP010956,SPENP011708,SPENP014571,SPENP015210,SPENP016264,SPENP017829,SPENP018474,SPENP020589,SPENP023108,SPENP023109,SPENP024917,SPENP000524,SPENP001355,SPENP001726,SPENP004563,SPENP008649,SPENP010913,SPENP010914,SPENP011690,SPENP014546,SPENP015203,SPENP017813,SPENP018449,SPENP020569,SPENP024256,SPENP000558,SPENP001743,SPENP002863,SPENP004619,SPENP006074,SPENP006075,SPENP006076,SPENP006077,SPENP006078,SPENP007441,SPENP007868,SPENP008686,SPENP009024,SPENP010993,SPENP010994,SPENP011717,SPENP012860,SPENP014590,SPENP015215,SPENP016272,SPENP017860,SPENP018489,SPENP019676,SPENP019677,SPENP019678,SPENP020600,SPENP023134,SPENP023135,SPENP024280,SPENP024927,SPENP000194,SPENP001036,SPENP001556,SPENP001832,SPENP002339,SPENP003978,SPENP006445,SPENP006989,SPENP007619,SPENP008210,SPENP008847,SPENP010197,SPENP010198,SPENP011367,SPENP011958,SPENP012302,SPENP012303,SPENP012937,SPENP013307,SPENP014146,SPENP014958,SPENP015820,SPENP017395,SPENP018140,SPENP019091,SPENP019092,SPENP019093,SPENP020073,SPENP022484,SPENP022485,SPENP023320,SPENP023593,SPENP023950,SPENP024566,SPENP025136,SPENP000012,SPENP000808,SPENP001418,SPENP002026,SPENP004989,SPENP004990,SPENP004991,SPENP004992,SPENP004993,SPENP006287,SPENP006806,SPENP007948,SPENP009775,SPENP009776,SPENP011869,SPENP013133,SPENP013889,SPENP014766,SPENP015521,SPENP017051,SPENP018011,SPENP019765,SPENP022178,SPENP022179,SPENP024359,SPENP009875,SPENP009876,SPENP011229,SPENP017064,SPENP018016,SPENP019885,SPENP023842,SPENP024417,SPENP000409,SPENP000128,SPENP001501,SPENP002238,SPENP003917,SPENP006403,SPENP006983,SPENP008169,SPENP010033,SPENP010034,SPENP011325,SPENP012288,SPENP012289,SPENP014034,SPENP014887,SPENP015705,SPENP017258,SPENP018129,SPENP019970,SPENP022444,SPENP022445,SPENP024541,SPENP001389,SPENP004683,SPENP011754,SPENP018524,SPENP020651,SPENP002422,SPENP018224,SPENP020206,SPENP025208,SPENP000499,SPENP000751,SPENP001334,SPENP001714,SPENP001952,SPENP002775,SPENP004549,SPENP005954,SPENP005955,SPENP005956,SPENP005957,SPENP005958,SPENP006680,SPENP007390,SPENP007834,SPENP008619,SPENP008998,SPENP010867,SPENP010868,SPENP011661,SPENP012584,SPENP012585,SPENP013067,SPENP013584,SPENP014531,SPENP015187,SPENP016214,SPENP017782,SPENP018445,SPENP019634,SPENP019635,SPENP019636,SPENP020532,SPENP023042,SPENP023043,SPENP023421,SPENP023757,SPENP024234,SPENP024882,SPENP025388,SPENP011784,SPENP000282,SPENP018209,SPENP001095,SPENP004092,SPENP000026,SPENP000791,SPENP001421,SPENP004954,SPENP004955,SPENP004956,SPENP004957,SPENP004958,SPENP015508,SPENP017000,SPENP019757,SPENP023458,SPENP025721,SPENP025887,SPENP025890,SPENP025964,SPENP026015,SPENP026082,SPENP026138,SPENP026153,SPENP026164,SPENP026171,SPENP026192,SPENP026411,SPENP026713,SPENP026752,SPENP026753,SPENP026875,SPENP027111,SPENP027112,SPENP027114,SPENP027179,SPENP027242,SPENP027243,SPENP027328,SPENP027394,SPENP027413,SPENP027439,SPENP027460,SPENP027484,SPENP027885,SPENP027886,SPENP027887,SPENP027948,SPENP028145,SPENP028219,SPENP028332,SPENP028333,SPENP028383,SPENP028559,SPENP028656,SPENP028657,SPENP028698,SPENP028728,SPENP028763,SPENP028785,SPENP028799,SPENP028802,SPENP028821,SPENP028827,SPENP028840	882
SPENO000885	SPENT000987	2423	3	1704	2360	0.0596	0.935	SPENP002033,SPENP002430	657
SPENO000886	SPENT001027	1649	2	545	742	0.1538	0.0435	SPENP002136,SPENP002067	198
SPENO000887	SPENT000023	942	1	565	930	0.8595	0.3844	SPENP004879,SPENP002177,SPENP003843,SPENP008079,SPENP011905,SPENP013984,SPENP015661,SPENP018059,SPENP019920,SPENP023513,SPENP000252,SPENP001562,SPENP001869,SPENP002440,SPENP004107,SPENP006484,SPENP007091,SPENP007664,SPENP008282,SPENP009195,SPENP009511,SPENP010239,SPENP010240,SPENP011429,SPENP012006,SPENP013407,SPENP014211,SPENP014997,SPENP015847,SPENP017434,SPENP018191,SPENP019253,SPENP019254,SPENP019255,SPENP020189,SPENP022660,SPENP022661,SPENP023616,SPENP024019,SPENP024670,SPENP025194,SPENP008568,SPENP000138,SPENP001013,SPENP001519,SPENP001816,SPENP002205,SPENP003913,SPENP004800,SPENP006382,SPENP006917,SPENP007594,SPENP008130,SPENP008833,SPENP009155,SPENP009430,SPENP010081,SPENP010082,SPENP011301,SPENP011931,SPENP012262,SPENP012263,SPENP012755,SPENP013257,SPENP014059,SPENP014863,SPENP015720,SPENP017237,SPENP018112,SPENP018606,SPENP018607,SPENP019007,SPENP019008,SPENP019009,SPENP020058,SPENP022416,SPENP022417,SPENP023906,SPENP024523,SPENP025089,SPENP000290,SPENP001598,SPENP001884,SPENP002498,SPENP004148,SPENP004848,SPENP006508,SPENP007161,SPENP007675,SPENP008412,SPENP009211,SPENP009532,SPENP010395,SPENP010396,SPENP011458,SPENP012027,SPENP012400,SPENP012401,SPENP013423,SPENP014248,SPENP015017,SPENP015962,SPENP017490,SPENP018270,SPENP018644,SPENP018645,SPENP019304,SPENP019305,SPENP019306,SPENP020298,SPENP022708,SPENP022709,SPENP023669,SPENP024083,SPENP024709,SPENP025242,SPENP004377,SPENP014280,SPENP015914,SPENP018246,SPENP000422,SPENP002649,SPENP008525,SPENP010661,SPENP010662,SPENP011598,SPENP012078,SPENP014418,SPENP016084,SPENP017699,SPENP018371,SPENP020447,SPENP024818,SPENP000110,SPENP011906,SPENP009733,SPENP009734,SPENP011883,SPENP015528,SPENP001636,SPENP001896,SPENP002533,SPENP004239,SPENP006550,SPENP007181,SPENP007708,SPENP008461,SPENP008913,SPENP009230,SPENP009568,SPENP010501,SPENP010502,SPENP012047,SPENP012809,SPENP012991,SPENP013448,SPENP014302,SPENP015993,SPENP017563,SPENP018287,SPENP018660,SPENP018661,SPENP019445,SPENP019446,SPENP019447,SPENP020315,SPENP022768,SPENP022769,SPENP023698,SPENP024133,SPENP024768,SPENP025261,SPENP000125,SPENP000976,SPENP001518,SPENP001823,SPENP002242,SPENP003947,SPENP004785,SPENP006391,SPENP006943,SPENP007593,SPENP008136,SPENP009151,SPENP009466,SPENP010051,SPENP010052,SPENP011305,SPENP011936,SPENP012278,SPENP012279,SPENP012747,SPENP012904,SPENP013256,SPENP014076,SPENP014908,SPENP015708,SPENP017254,SPENP018106,SPENP018974,SPENP018975,SPENP018976,SPENP019984,SPENP022376,SPENP022377,SPENP023550,SPENP023910,SPENP024513,SPENP025085,SPENP016729	366
SPENO000888	SPENT001504	5341	3	3030	3251	0.2329	0.0958	SPENP003247,SPENP015375	222
SPENO000889	SPENT004414	5149	1	88	255	0.4	0.0157	SPENP020583	168
SPENO000890	SPENT000687	1283	2	515	763	0.122	0.787	SPENP001476	249
SPENO000891	SPENT001454	462	2	59	247	0.1935	0.8933	SPENP003127	189
SPENO000892	SPENT002666	569	1	1	294	0.1443	0.2065	SPENP007134	294
SPENO000893	SPENT004464	523	2	29	277	0.0976	0.2195	SPENP022154,SPENP022155	249
SPENO000894	SPENT000351	1000	1	259	411	0.76	0.1236	SPENP000481,SPENP002731,SPENP004493,SPENP006659,SPENP014479,SPENP016178,SPENP017768,SPENP020515,SPENP015539,SPENP001014	153
SPENO000895	SPENT000351	1000	1	484	768	0.2553	0.025	SPENP003884,SPENP017181,SPENP019947,SPENP008348,SPENP014240	285
SPENO000896	SPENT001620	1719	3	318	377	0.9474	0.0004	SPENP003644	60
SPENO000897	SPENT001448	653	3	387	569	0.1833	0.2595	SPENP003512,SPENP003084,SPENP003463	183
SPENO000898	SPENT002812	347561	3	272889	272993	0.3529	0	SPENP018177	105
SPENO000899	SPENT002812	347561	3	172731	172982	0.2289	0	SPENP007824	252
SPENO000900	SPENT002812	347561	2	248702	248887	0.1475	0	SPENP016717	186
SPENO000901	SPENT000190	581	1	73	231	0.1731	0.0092	SPENP000870,SPENP009843,SPENP009844,SPENP011251,SPENP013958,SPENP023236,SPENP013916,SPENP025823,SPENP027045,SPENP028623	159
SPENO000902	SPENT002681	598	1	1	312	0.1456	0.1165	SPENP007230,SPENP027381	312
SPENO000903	SPENT005095	1107	3	828	923	0.4516	0.0153	SPENP012028	96
SPENO000904	SPENT003305	1122	1	538	723	0.459	0.0313	SPENP011095,SPENP011096	186
SPENO000905	SPENT005618	1407	1	676	1023	0.1304	0.1757	SPENP015067	348
SPENO000906	SPENT006010	5956	2	2345	2410	0.619	0.0001	SPENP000260	66
SPENO000907	SPENT004991	3504	3	3369	3437	0.5	0.0001	SPENP023946	69
SPENO000908	SPENT000295	2167	1	1588	1629	0.7692	0.0086	SPENP000904	42
SPENO000909	SPENT004102	380	1	61	183	0.225	0.0016	SPENP018042	123
SPENO000910	SPENT005628	3388	1	2167	2373	0.2206	0.0051	SPENP015075	207
SPENO000911	SPENT005581	3881	3	2136	2252	0.3158	0.0075	SPENP014924	117
SPENO000912	SPENT003371	5179	1	583	657	0.5417	0.0062	SPENP011412	75
SPENO000913	SPENT004656	588	2	389	490	0.3333	0.0116	SPENP023283	102
SPENO000914	SPENT005648	1737	3	1326	1445	0.5128	0.0077	SPENP015179	120
SPENO000915	SPENT001846	795	3	105	188	0.5926	0.5282	SPENP004309,SPENP026469	84
SPENO000916	SPENT003506	2781	2	557	754	0.1385	0.3004	SPENP016702	198
SPENO000917	SPENT001269	1810	2	1454	1522	0.6818	0.0024	SPENP002562,SPENP004223,SPENP006556	69
SPENO000918	SPENT000812	531	1	1	162	0.3019	0.0099	SPENP001647	162
SPENO000919	SPENT002528	893	3	138	401	0.1264	0.1006	SPENP006964	264
SPENO000920	SPENT000868	1191	1	601	720	0.6923	0.4072	SPENP001767,SPENP007895,SPENP011759,SPENP023789	120
SPENO000921	SPENT004700	351	3	162	263	0.3636	0.0117	SPENP023595	102
SPENO000922	SPENT002712	1277	1	760	831	0.7391	0.0008	SPENP007319	72
SPENO000923	SPENT001008	966	2	251	691	0.1986	0.2372	SPENP002807,SPENP007414,SPENP018450,SPENP002029	441
